"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"创建用户user账号成功","131","test_create_user_success[test_create_user_success_02]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"获取id511账号成功","148","test_get_user_information_success[test_get_user_information_success_06]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","179","test_query_user_list_fail[test_query_user_list_fail_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id500账号成功","158","test_get_user_information_success[test_get_user_information_success_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id510#^#^$%#^账号成功","114","test_change_user_information_success[test_get_user_information_fail_05]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户cantuse账号成功","114","test_create_user_success[test_create_user_success_05]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","160","test_query_user_list_fail[test_query_user_list_fail_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户None账号失败","104","test_create_user_fail[test_create_user_fail_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","122","test_query_user_list_fail[test_query_user_list_fail_05]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","159","test_get_user_information_fail[test_get_user_information_fail_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id669账号成功","173","test_get_user_information_fail[test_get_user_information_fail_09]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id699账号成功","151","test_get_user_information_fail[test_get_user_information_fail_08]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id638账号成功","114","test_change_user_information_success[test_get_user_information_fail_07]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","123","test_query_user_list_fail[test_query_user_list_fail_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","93","test_query_user_list_fail[test_query_user_list_fail_08]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户ridstring账号失败","124","test_create_user_fail[test_create_user_fail_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id689账号成功","121","test_change_user_information_success[test_get_user_information_fail_10]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id509QXWoaDrZnM账号成功","122","test_change_user_information_success[test_get_user_information_fail_04]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id510账号成功","170","test_get_user_information_success[test_get_user_information_success_05]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id653账号成功","162","test_get_user_information_fail[test_get_user_information_fail_07]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","114","test_query_user_list_fail[test_query_user_list_fail_06]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","256","test_change_user_information_success[test_get_user_information_fail_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表失败","130","test_query_user_list_fail[test_query_user_list_fail_07]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id510#^#^$%#^账号成功","130","test_get_user_information_fail[test_get_user_information_fail_05]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id502账号成功","143","test_get_user_information_success[test_get_user_information_success_02]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id515账号成功","154","test_get_user_information_success[test_get_user_information_success_10]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"查询用户接口列表成功","99","test_query_user_list_success[test_query_user_list_success_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"创建用户norid账号成功","138","test_create_user_success[test_create_user_success_06]","testcases","2026-09-09","failed","2026-09-09","TestAllCase","test_all_case","",""
"获取id672账号成功","122","test_change_user_information_success[test_get_user_information_fail_09]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id'511'账号成功","148","test_get_user_information_fail[test_get_user_information_fail_06]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","126","test_get_user_information_fail[test_get_user_information_fail_01]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取id514账号成功","163","test_get_user_information_success[test_get_user_information_success_09]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","133","test_get_user_information_fail[test_get_user_information_fail_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
"获取idNone账号成功","208","test_change_user_information_success[test_get_user_information_fail_03]","testcases","2026-09-09","passed","2026-09-09","TestAllCase","test_all_case","",""
